
Step                       Pass Detail                                                                                
----                       ---- ------                                                                                
Generate test audio        True track-a + track-b synthetic WAV                                                       
Sidecar health             True http://127.0.0.1:47831                                                                
Capability ffmpeg          True C:\Users\dimit\tools\ffmpeg\ffmpeg-master-latest-win64-gpl\bin\ffmpeg.EXE             
Capability ffprobe         True C:\Users\dimit\tools\ffmpeg\ffmpeg-master-latest-win64-gpl\bin\ffprobe.EXE            
Capability rubberband      True C:\Users\dimit\tools\rubberband\rubberband-4.0.0-gpl-executable-windows\rubberband.EXE
Capability torch           True 2.5.1+cpu                                                                             
Capability demucs          True 4.0.1                                                                                 
Metadata Track A           True Metadata returned from local ffprobe inspection.                                      
Metadata Track B           True Metadata returned from local ffprobe inspection.                                      
Analyze beat (track-a)     True librosa is not installed in the local service environment.                            
Analyze key (track-a)      True librosa is not installed in the local service environment.                            
Analyze phrases (track-a)  True librosa is not installed in the local service environment.                            
Analyze beat (track-b)     True librosa is not installed in the local service environment.                            
Analyze key (track-b)      True librosa is not installed in the local service environment.                            
Analyze phrases (track-b)  True librosa is not installed in the local service environment.                            
Stem preview Track A       True e7f66eb142cc4bd6ad1fe68f909fcf6a                                                      
Stem preview Track B       True 2fc8db3e1daa412995655a3377eb54b9                                                      
Combined preview           True b75b191bb7ad4db782fc0cfc6cd7611b                                                      
Full WAV export            True beb668faeef24ffbb2abc7dbff25a321                                                      
MP3 export                 True f7b2d96259da4c6591808a36004a4898                                                      
Mastering preset           True 34a58da28f204655983aaee0fc0a411e                                                      
Artifact browser list      True count=9                                                                               
Artifact metadata loudness True Preview artifact metadata returned. Not a final export.                               
Project package            True e834e51a35cb4dceb7768ac165859843                                                      
Delete artifact safely     True f7b2d96259da4c6591808a36004a4898                                                      



